País;Human Development Index (HDI);Esperanza de Vida;Promedio de años de Escolaridad ;Años esperados de Escolaridad ;Producto interior bruto per cápita;;;;
Maldives;0,698;77,9;5,8;12,7;10.074;;;;
Mali;0,407;55,0;2,0;8,6;1.499;;;;
Malta;0,829;79,8;9,9;14,5;27.022;;;;
Mauritania;0,487;61,6;3,7;8,2;2.988;;;;
Mauritius;0,771;73,6;8,5;15,6;16.777;;;;
Mexico;0,756;77,5;8,5;12,8;15.854;;;;
Micronesia (Federated States of);0,630;69,0;8,8;11,4;3.662;;;;
Moldova (Republic of);0,663;68,9;9,8;11,8;5.041;;;;
Mongolia;0,698;67,5;8,3;15,0;8.466;;;;
Montenegro;0,789;74,8;10,5;15,2;14.710;;;;
Morocco;0,617;70,9;4,4;11,6;6.905;;;;
Mozambique;0,393;50,3;3,2;9,5;1.011;;;;
Myanmar;0,524;65,2;4,0;8,6;3.998;;;;
Namibia;0,624;64,5;6,2;11,3;9.185;;;;
Nepal;0,540;68,4;3,2;12,4;2.194;;;;
Netherlands;0,915;81,0;11,9;17,9;42.397;;;;
New Zealand;0,910;81,1;12,5;19,4;32.569;;;;
Nicaragua;0,614;74,8;5,8;10,5;4.266;;;;
Niger;0,337;58,4;1,4;5,4;873;;;;
Nigeria;0,504;52,5;5,2;9,0;5.353;;;;
Norway;0,944;81,5;12,6;17,6;63.909;;;;
Oman;0,783;76,6;6,8;13,6;42.191;;;;
Pakistan;0,537;66,6;4,7;7,7;4.652;;;;
Palau;0,775;72,4;12,2;13,7;12.823;;;;
Palestine, State of;0,686;73,2;8,9;13,2;5.168;;;;
Panama;0,765;77,6;9,4;12,4;16.379;;;;
Papua New Guinea;0,491;62,4;3,9;8,9;2.453;;;;
Paraguay;0,676;72,3;7,7;11,9;7.580;;;;
Peru;0,737;74,8;9,0;13,1;11.280;;;;
Philippines;0,660;68,7;8,9;11,3;6.381;;;;
Poland;0,834;76,4;11,8;15,5;21.487;;;;
Portugal;0,822;79,9;8,2;16,3;24.130;;;;
Qatar;0,851;78,4;9,1;13,8;119.029;;;;
Romania;0,785;73,8;10,7;14,1;17.433;;;;
Russian Federation;0,778;68,0;11,7;14,0;22.617;;;;
Rwanda;0,506;64,1;3,3;13,2;1.403;;;;
Saint Kitts and Nevis;0,750;73,6;8,4;12,9;20.150;;;;
Saint Lucia;0,714;74,8;8,3;12,8;9.251;;;;
Saint Vincent and the Grenadines;0,719;72,5;8,6;13,3;10.339;;;;
Samoa;0,694;73,2;10,3;12,9;4.708;;;;
Sao Tome and Principe;0,558;66,3;4,7;11,3;3.111;;;;
Saudi Arabia;0,836;75,5;8,7;15,6;52.109;;;;
Senegal;0,485;63,5;4,5;7,9;2.169;;;;
Serbia;0,745;74,1;9,5;13,6;11.301;;;;
Seychelles;0,756;73,2;9,4;11,6;24.632;;;;
Sierra Leone;0,374;45,6;2,9;7,5;1.815;;;;
Singapore;0,901;82,3;10,2;15,4;72.371;;;;
Slovakia;0,830;75,4;11,6;15,0;25.336;;;;
Slovenia;0,874;79,6;11,9;16,8;26.809;;;;
Solomon Islands;0,491;67,7;4,5;9,2;1.385;;;;
South Africa;0,658;56,9;9,9;13,1;11.788;;;;
Spain;0,869;82,1;9,6;17,1;30.561;;;;
Sri Lanka;0,750;74,3;10,8;13,6;9.250;;;;
Sudan;0,473;62,1;3,1;7,3;3.428;;;;
Suriname;0,705;71,0;7,7;12,0;15.113;;;;
Swaziland;0,530;49,0;7,1;11,3;5.536;;;;
Sweden;0,898;81,8;11,7;15,8;43.201;;;;
Switzerland;0,917;82,6;12,2;15,7;53.762;;;;
Syrian Arab Republic;0,658;74,6;6,6;12,0;5.771;;;;
Tajikistan;0,607;67,2;9,9;11,2;2.424;;;;
Tanzania (United Republic of);0,488;61,5;5,1;9,2;1.702;;;;
Thailand;0,722;74,4;7,3;13,1;13.364;;;;
The former Yugoslav Republic of Macedonia;0,732;75,2;8,2;13,3;11.745;;;;
Timor-Leste;0,620;67,5;4,4;11,7;9.674;;;;
Togo;0,473;56,5;5,3;12,2;1.129;;;;
Tonga;0,705;72,7;9,4;14,7;5.316;;;;
Trinidad and Tobago;0,766;69,9;10,8;12,3;25.325;;;;
Tunisia;0,721;75,9;6,5;14,6;10.440;;;;
Turkey;0,759;75,3;7,6;14,4;18.391;;;;
Turkmenistan;0,698;65,5;9,9;12,6;11.533;;;;
Uganda;0,484;59,2;5,4;10,8;1.335;;;;
Ukraine;0,734;68,5;11,3;15,1;8.215;;;;
United Arab Emirates;0,827;76,8;9,1;13,3;58.068;;;;
United Kingdom;0,892;80,5;12,3;16,2;35.002;;;;
United States;0,914;78,9;12,9;16,5;52.308;;;;
Uruguay;0,790;77,2;8,5;15,5;18.108;;;;
Uzbekistan;0,661;68,2;10,0;11,5;5.227;;;;
Vanuatu;0,616;71,6;9,0;10,6;2.652;;;;
Venezuela (Bolivarian Republic of);0,764;74,6;8,6;14,2;17.067;;;;
Viet Nam;0,638;75,9;5,5;11,9;4.892;;;;
Yemen;0,500;63,1;2,5;9,2;3.945;;;;
Zambia;0,561;58,1;6,5;13,5;2.898;;;;
Zimbabwe;0,492;59,9;7,2;9,3;1.307;;;;
